층_용도_대분류_코드,층_용도_대분류_명,평균_경과년수,평균_내구연한,평균_잔존연한,평균_잔존비율
01000,단독주택,40.13069653393761,44.57867937598094,17.017259703658137,0.37012592844279985
02000,공동주택,18.176208039609765,49.556126884565884,31.488625399355854,0.6325728013972516
03000,제1종근린생활시설,29.238816903047592,47.45924732342171,21.52513704503018,0.45241524538447603
04000,제2종근린생활시설,23.840762970581867,46.18464679868588,24.1017913346054,0.5235468874454717
05000,문화및집회시설,21.600734203680744,48.50375610823426,28.596473634308218,0.5809447339182581
06000,종교시설,29.424966417194398,49.45782959124928,24.78966609096143,0.48783503351910873
07000,판매시설,26.367247570550404,48.93763567385527,25.164370777626747,0.5125203389839929
08000,운수시설,20.465973649220356,49.17925782666506,30.711531487972923,0.6154579048414419
09000,의료시설,22.726719604001236,48.10601216871197,26.41541713932144,0.5434598842771489
10000,교육연구시설,26.487714845598624,51.73885151596947,27.772445953383368,0.5313377173690598
11000,노유자시설,22.297860779930453,50.71779526825633,29.367237953303526,0.5672945204789049
12000,수련시설,18.14058014058014,46.66171666171666,29.552915552915554,0.6291554391554397
13000,운동시설,17.01844278943805,47.007989167230875,30.376831415030466,0.643629128112542
14000,업무시설,15.899054831672341,52.83148558158167,37.27274006788323,0.6960572957435707
15000,숙박시설,22.188265596750625,49.14436436585185,27.988404289570795,0.5643650662491728
16000,위락시설,33.45910688783918,48.8889651763155,17.851051851038118,0.36390012176662456
17000,공장,20.66892975597149,37.61068191665379,18.806022545589066,0.5023219875618551
18000,창고시설,40.95783441544166,36.98793437000777,12.950886205195097,0.34967867265718794
19000,위험물저장및처리시설,21.903248186691894,40.58140176600441,19.789467045096185,0.4910749900000113
20000,자동차관련시설,21.832680985156316,45.18142051579733,23.942478646653953,0.5277332769965649
21000,동물및식물관련시설,29.37185568949798,31.744403120070622,11.722658499876992,0.3883262618099092
22000,분뇨.쓰레기처리시설,26.459289965986393,39.34266935941043,15.013171414399093,0.37724404005229156
23000,교정및군사시설,14.072666581075877,49.798273205803056,36.11375016048273,0.7153219672654126
24000,방송통신시설,24.8528253968254,48.3847619047619,24.999936507936507,0.5164609294761675
25000,발전시설,7.062622950819672,37.756557377049184,30.79434426229508,0.8147645340997782
26000,묘지관련시설,18.784130688448073,46.16297160637884,29.563593932322053,0.6323556170697361
27000,관광휴게시설,19.094542811839325,44.33965380549683,26.360828488372093,0.5937683030280155
28000,가설건축물,27.181818181818183,39.36363636363637,17.063636363636363,0.4360553587826315
29000,장례시설,16.922600619195048,45.408668730650156,28.71702786377709,0.624769182314074
30000,자원순환관련시설,10.555009087993158,37.55853736768951,27.119560568801454,0.7184238152168202
31000,야영장시설,4.053413897280967,37.88700906344411,34.028761329305134,0.9001953013082918
32000,교정시설,2.388888888888889,53.333333333333336,50.94444444444444,0.955881566992678
33000,"국방,군사시설",18.93859508117666,49.377109789422924,31.04950972512458,0.6228832170883285
