주_용도_코드,주_용도_코드_명,total_count,correct_count,accuracy
04044,인터넷컴퓨터게임시설제공업소,7668,6854,0.8938445487741262
09101,종합병원,7558,3646,0.48240275205080707
04043,다중생활시설,7277,5452,0.7492098392194586
06107,제실,7188,4781,0.6651363383416806
07101,시장,7172,3142,0.43809258226436143
04040,교습소,7171,6931,0.966531864454051
09109,요양병원,6947,5439,0.7829278825392255
03108,보건소,6722,5351,0.7960428443915502
33001,"국방,군사시설",6602,2240,0.3392911239018479
21299,기타가축시설,6466,7,0.0010825858335910918
04007,게임제공업소,6357,3950,0.6213622778039956
11199,기타아동관련시설,6260,2709,0.4327476038338658
06999,기타종교시설,6231,9,0.0014443909484833895
14102,자치단체청사,6208,1586,0.2554768041237113
10005,도서관,6198,4044,0.6524685382381413
04008,사진관,6059,5416,0.8938768773725038
15206,호스텔,6053,5291,0.8741120105732695
10201,교육원,5897,4394,0.7451246396472783
04016,단란주점,5786,4943,0.8543034911856204
15299,기타관광숙박시설,5646,304,0.053843428976266386
03010,정수장,5645,1517,0.2687333923826395
03022,마을공동작업소,5591,2893,0.5174387408334824
19002,액화석유가스충전소,5363,2267,0.4227111691217602
17302,물품 가공공장,5213,1038,0.19911759063878764
03008,변전소,5205,3640,0.6993275696445725
19004,위험물저장소,5174,2523,0.48763045999226906
01004,공관,5001,324,0.0647870425914817
03019,탁구장,4824,4472,0.9270315091210614
03014,치과의원,4757,4062,0.853899516501997
15103,여인숙,4711,4093,0.8688176607938867
09999,기타의료시설,4599,226,0.049141117634268316
03009,양수장,4508,2618,0.5807453416149069
18103,냉동창고,4494,2450,0.5451713395638629
03105,우체국,4302,2843,0.6608554160855417
21004,종묘배양시설,4265,2705,0.634232121922626
15101,호텔,4212,1999,0.4745963912630579
24004,통신용시설,4179,2071,0.49557310361330464
04207,제실,4127,56,0.013569178580082384
03104,소방서,4109,2253,0.5483085908980287
27005,휴게소,4108,1862,0.45326192794547226
03013,세탁소,4093,3647,0.8910334717810897
21005,온실,4014,3144,0.7832585949177877
03103,파출소,4003,2235,0.558331251561329
04199,기타운동시설,3833,523,0.13644664753456823
25001,발전소,3756,2267,0.6035676251331203
10202,연수원,3748,2483,0.6624866595517609
04003,기원,3739,3334,0.8916822679860925
25999,기타발전시설,3737,717,0.19186513245919187
13006,체력단련장,3717,1869,0.5028248587570622
30001,하수등처리시설,3706,1488,0.40151106314085266
11101,유치원,3655,619,0.16935704514363886
14101,국가기관청사,3569,1049,0.2939198655085458
21102,양잠,3542,26,0.007340485601355167
10105,전문대학,3524,577,0.1637343927355278
20005,매매장,3362,2295,0.6826293872694824
13001,체육관,3335,1882,0.5643178410794603
03024,지역아동센터,3292,2908,0.8833535844471446
11104,아동복지시설,3264,1992,0.6102941176470589
04037,인터넷컴퓨터게임시설제공업의시설,3063,2223,0.7257590597453477
15999,기타숙박시설,3025,534,0.17652892561983471
07212,일반게임제공업의시설,2956,1961,0.6633964817320703
22005,폐기물처리시설및폐기물감량화시설,2928,754,0.2575136612021858
21104,양어시설,2926,1019,0.348257006151743
31002,화장실,2901,1203,0.41468459152016546
07104,대형점,2880,793,0.27534722222222224
04018,자동차영업소,2818,2211,0.7845990063875089
10106,대학,2811,713,0.25364638918534327
05201,예식장,2734,1828,0.6686174103877103
31999,기타야영장시설,2696,293,0.10867952522255193
03029,제과점,2610,2463,0.9436781609195403
10002,직업훈련소,2563,1431,0.5583300819352321
22002,폐기물처리시설,2548,690,0.2708006279434851
05401,박물관,2543,1119,0.440031458906803
08007,철도시설,2533,979,0.386498223450454
18000,창고시설,2518,0,0.0
23999,기타교정및군사시설,2483,605,0.2436568666935159
07199,기타소매시장,2475,585,0.23636363636363636
30999,기타자원순환관련시설,2430,1,0.00041152263374485596
16001,단란주점,2388,736,0.3082077051926298
03112,지역자치센터,2341,1182,0.50491243058522
03106,전신전화국,2330,693,0.2974248927038627
19006,액화가스판매소,2305,963,0.4177874186550976
09104,한방병원,2260,1736,0.768141592920354
04025,인터넷컴퓨터게임시설제공업소,2217,7,0.0031574199368516014
03023,마을공동구판장,2078,996,0.4793070259865255
04000,제2종근린생활시설,2064,2,0.0009689922480620155
23002,군사시설,2063,1,0.0004847309743092584
15204,가족호텔,2051,1475,0.7191613846903949
21108,곤충사육,2024,254,0.12549407114624506
20003,폐차장,2023,1075,0.5313890261987148
05199,기타공연장,1985,321,0.16171284634760705
04030,의약품판매소,1984,1810,0.9122983870967742
31001,관리동,1949,1048,0.5377116469984607
12101,청소년수련원(관),1946,0,0.0
04045,청소년게임제공업소,1913,1752,0.9158389963408259
09199,기타병원,1905,2,0.0010498687664041995
20004,검사장,1901,1221,0.6422935297211994
04012,동물병원,1859,1650,0.8875739644970414
05408,체험관,1832,1144,0.6244541484716157
21106,양돈,1825,0,0.0
30004,폐기물처분시설,1823,901,0.494240263302249
13110,골프장,1749,0,0.0
30002,고물상,1748,1264,0.7231121281464531
22004,고물상,1718,666,0.38766006984866125
08004,공항시설,1710,558,0.3263157894736842
04017,의약품도매점,1698,896,0.5276796230859835
29001,장례식장,1684,1289,0.7654394299287411
19003,위험물제조소,1676,1151,0.6867541766109785
05402,미술관,1670,1005,0.6017964071856288
19009,석유판매소,1669,592,0.3547034152186938
16007,주점영업,1644,371,0.225669099756691
03026,이용원,1601,48,0.029981261711430358
07102,백화점,1598,542,0.33917396745932415
04019,안마시술소,1532,1137,0.7421671018276762
20007,운전학원,1521,632,0.4155161078238001
22003,폐기물재활용시설,1462,9,0.006155950752393981
21107,양계,1453,322,0.22161046111493463
24002,전신전화국,1445,0,0.0
07103,대형백화점,1436,0,0.0
04009,표구점,1408,1299,0.9225852272727273
14200,일반업무시설,1395,1,0.0007168458781362007
05202,회의장,1395,762,0.546236559139785
06100,종교집회장,1385,5,0.0036101083032490976
04031,의료기기판매소,1334,1233,0.9242878560719641
04200,종교집회장,1328,0,0.0
05108,영화관,1323,750,0.5668934240362812
06106,수녀원,1302,925,0.7104454685099847
03006,체육장,1300,0,0.0
05101,극장(영화관),1265,0,0.0
02000,공동주택,1257,0,0.0
12203,청소년수련원,1249,645,0.5164131305044035
08999,기타운수시설,1238,0,0.0
13002,운동장시설,1229,0,0.0
26999,기타묘지관련시설,1209,0,0.0
18004,집배송시설,1185,800,0.6751054852320675
04202,성당,1176,0,0.0
15100,일반숙박시설,1169,0,0.0
05299,기타집회장,1167,238,0.20394173093401885
05404,기념관,1166,585,0.5017152658662093
12999,기타수련시설,1162,0,0.0
03109,공공도서관,1162,791,0.6807228915662651
04399,기타공연장,1161,651,0.5607235142118863
09100,병원,1160,0,0.0
16006,무도장(학원),1151,586,0.5091225021720244
06108,사당,1118,7,0.006261180679785331
