기타_용도_분리,Total_Count
광,2809
호텔,2807
예능계강습소,2787
저장,2777
보건소,2767
고물상,2765
은행,2765
미,2731
8가구,2730
문고,2727
9,2720
근린,2715
마을공동작업소,2700
실습실,2697
elev홀,2694
층수,2673
복층,2665
슈퍼마켓,2663
체력단련실,2663
급식실,2657
창고및변소,2654
폐수처리장,2650
용원,2645
외부계단,2640
10세대,2638
농기계수리점,2632
7호,2599
pit,2572
액화석유가스충전소,2565
청소년게임제공업소,2555
매매장,2549
부설주차장,2531
계단실통로,2531
분뇨,2527
도시형,2526
쓰레기처리시설,2526
주택2가구,2504
주택및창고,2492
축분장,2492
필로티주차장,2486
기술계학원,2484
동사무소,2476
업,2470
주거시설,2468
분뇨및쓰레기처리시설,2452
주차통로,2450
농기계창고,2449
면적,2442
자동차영업소,2439
소방서,2437
장례식장,2436
처리시설,2434
부대,2425
아동복지시설,2421
도시형생활주택원룸형,2414
전실,2406
v실,2405
파출소,2391
수련시설,2358
정비시설,2355
원,2350
주거용,2346
사설강습소,2343
교육,2341
방풍실,2338
주택및,2333
착유실,2327
아파트형공장,2325
3층,2324
2종,2297
승강기탑,2287
기타일반업무시설,2273
톱밥우사,2272
4실,2267
구내식당,2261
폐기물처리시설,2260
관리소,2255
예식장,2244
옥탑층,2223
8호,2220
위험물제조소,2217
카리프트,2213
제1종근,2208
곤충사육사,2195
ev실,2183
제각,2180
11,2179
9세대,2173
직업훈련소,2159
농업시설,2153
자재창고,2153
창고및화장실,2125
보이러실,2123
보건진료소,2122
위험물취급소,2117
일반게임제공업의시설,2116
의약품판매소,2116
멀티미디어문화컨텐츠설비제공업소,2105
매점,2104
생활관,2081
샤워장,2076
발전소,2074
요사채,2067
기타제2종근린생활시설,2061
구매시설,2057
하역장,2053
교사동,2053
승강기실,2048
곶감건조장,2015
사무동,2008
자동차수리점,2003
사당,2002
대문,1998
연수,1997
운수시설,1989
바닥면적,1974
방송통신시설,1972
경노당,1955
동물병원,1953
주차관리실,1952
세탁실,1951
